Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e69b4c14c77c68fea7eed3ea1224eceec5981edfc7456acec386720a7b2c5a0e,2016-05,Staffordshire Police,Staffordshire Police,-1.639234,52.824565,On or near HARPER AVENUE,E01029437,East Staffordshire 007D,Unable to prosecute suspect
58b1249ad40d404756d4706b29420bcf59ed904f6c9877d540d4bce4e61ef0ff,2016-05,Staffordshire Police,Staffordshire Police,-2.106608,52.767118,On or near A449,E01029656,South Staffordshire 001B,Suspect charged
58b1249ad40d404756d4706b29420bcf59ed904f6c9877d540d4bce4e61ef0ff,2016-05,Staffordshire Police,Staffordshire Police,-2.106608,52.767118,On or near A449,E01029656,South Staffordshire 001B,Suspect charged
58b1249ad40d404756d4706b29420bcf59ed904f6c9877d540d4bce4e61ef0ff,2016-05,Staffordshire Police,Staffordshire Police,-2.106608,52.767118,On or near A449,E01029656,South Staffordshire 001B,Suspect charged
58b1249ad40d404756d4706b29420bcf59ed904f6c9877d540d4bce4e61ef0ff,2016-05,Staffordshire Police,Staffordshire Police,-2.106608,52.767118,On or near A449,E01029656,South Staffordshire 001B,Suspect charged
58b1249ad40d404756d4706b29420bcf59ed904f6c9877d540d4bce4e61ef0ff,2016-05,Staffordshire Police,Staffordshire Police,-2.106608,52.767118,On or near A449,E01029656,South Staffordshire 001B,Suspect charged
58b1249ad40d404756d4706b29420bcf59ed904f6c9877d540d4bce4e61ef0ff,2016-05,Staffordshire Police,Staffordshire Police,-2.106608,52.767118,On or near A449,E01029656,South Staffordshire 001B,Suspect charged
58b1249ad40d404756d4706b29420bcf59ed904f6c9877d540d4bce4e61ef0ff,2016-05,Staffordshire Police,Staffordshire Police,-2.106608,52.767118,On or near A449,E01029656,South Staffordshire 001B,Suspect charged
58b1249ad40d404756d4706b29420bcf59ed904f6c9877d540d4bce4e61ef0ff,2016-05,Staffordshire Police,Staffordshire Police,-2.106608,52.767118,On or near A449,E01029656,South Staffordshire 001B,Suspect charged
ec3d4bf607de613b6a44a97965f50c09acefd61c18ca6b7040a114b8228be8e5,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
3c20f75a8f21277a09bbdf547e44e4bd345b905ce6108dc22779e27cfa48c1ae,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
6a85ac9caa5a759bbc7435f2d8260cfdf09b626c6aafa0b956162ffdda9c5a3c,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
ee1b2b34c247624defdc397852c39d58f50ef9f87739aefcb960cf5c1ee49eed,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
0f9e93a42d5a71dce0e4fbba228cae018338d6bf1891446443f4dfaafc937cfe,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
0ab14c254b8f7b31889b1fbe331596dd7e7a678ccd310672d988002e9567b111,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
60f491e300ddb2a443b8e0ae7f7bf70ed9fd5388ede7f8969dae96ec0f844de2,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
4a5cedb1639355913d5fe088cdcbb5b06a56b56e6b3ac65eb47c6d3f4d4a5d2c,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged as part of another case
de879c106e271bcbe03963b9bae67679e0c71eef9e6241fe8d2b2999181fd42a,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
de879c106e271bcbe03963b9bae67679e0c71eef9e6241fe8d2b2999181fd42a,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
97d82685c38ea0814087ae9f59a26ecebdff472429863c179f2b78ffe71a2b5f,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
8c9dc56ae02d6302541db0cfd9984b74df23b9c4c51fdd21e25eeb2b1b23f721,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
11d4827d072ec5c70e574da0e13c2a39aabc32fbf74281fa66d6ac6a2e65ab60,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
f1a1d0148538a4088e3455c8850291f24d727e4d7d21fd71ae82c53d8a999ad3,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
ac242f62076941cae4a8e1d11ff076679c7c72add54fe220b87a69f6e43bb2d5,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Formal action is not in the public interest
31e7d3e6bbdd1ff7ffd8816c5160bdf0b595ca7f4f65eeec55be0747702e2382,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
fa6deede620864840ae5cfd91100abf8e25cf2d7f6d83f392c505387a90a588a,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
d58859fd13a3646908779a6eaf565d0784eda15d164c3c7f4295b5064f44e8f4,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
fadd229e3e62033b4da2279e9a33c6954b4a433466457d07b65b41793c4f8f33,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
0fd36a5117e69916b1b35a3953e3f452c7ad1904c6b56f39f48b7f906ddeee74,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
ffd38b78e95bea6fafd773df578ebc8bc49f6248b71f3f05ae2e994ed10be771,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
3a42d12fd9df11beedf8f0f63d4d202c00ce6bbfb062fbd07750c489978d0354,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
950f898407d83f80fa0e623f3b748c6d9ac763d2c09d073297242cf09e7a71f0,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
238d2f72186d111fcbb37aef3628edc7c707dd3f9cf6aaaaf740a5c982da6377,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
ba971d04033611e69fa3e84005c628fa6691673dbe7310399cf1607d64b02583,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
